C;Day-Ahead Energy Market Demand Historical Demand Bid Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Filename: hbdayaheaddemandbid_20230520.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report for: 05/20/2023 - 05/20/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report generated: 09/01/2023 13:19:50 EDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;Day;Hour;Masked Lead Participant ID;Masked Location ID;Location Type;Bid Type;Bid ID;Segment 1 Price;Segment 1 MW;Segment 2 Price;Segment 2 MW;Segment 3 Price;Segment 3 MW;Segment 4 Price;Segment 4 MW;Segment 5 Price;Segment 5 MW;Segment 6 Price;Segment 6 MW;Segment 7 Price;Segment 7 MW;Segment 8 Price;Segment 8 MW;Segment 9 Price;Segment 9 MW;Segment 10 Price;Segment 10 MW;Segment 11 Price;Segment 11 MW;Segment 12 Price;Segment 12 MW;Segment 13 Price;Segment 13 MW;Segment 14 Price;Segment 14 MW;Segment 15 Price;Segment 15 MW;Segment 16 Price;Segment 16 MW;Segment 17 Price;Segment 17 MW;Segment 18 Price;Segment 18 MW;Segment 19 Price;Segment 19 MW;Segment 20 Price;Segment 20 MW;Segment 21 Price;Segment 21 MW;Segment 22 Price;Segment 22 MW;Segment 23 Price;Segment 23 MW;Segment 24 Price;Segment 24 MW;Segment 25 Price;Segment 25 MW;Segment 26 Price;Segment 26 MW;Segment 27 Price;Segment 27 MW;Segment 28 Price;Segment 28 MW;Segment 29 Price;Segment 29 MW;Segment 30 Price;Segment 30 MW;Segment 31 Price;Segment 31 MW;Segment 32 Price;Segment 32 MW;Segment 33 Price;Segment 33 MW;Segment 34 Price;Segment 34 MW;Segment 35 Price;Segment 35 MW;Segment 36 Price;Segment 36 MW;Segment 37 Price;Segment 37 MW;Segment 38 Price;Segment 38 MW;Segment 39 Price;Segment 39 MW;Segment 40 Price;Segment 40 MW;Segment 41 Price;Segment 41 MW;Segment 42 Price;Segment 42 MW;Segment 43 Price;Segment 43 MW;Segment 44 Price;Segment 44 MW;Segment 45 Price;Segment 45 MW;Segment 46 Price;Segment 46 MW;Segment 47 Price;Segment 47 MW;Segment 48 Price;Segment 48 MW;Segment 49 Price;Segment 49 MW;Segment 50 Price;Segment 50 MW
D;05/20/2023;10;172669;39271;LOAD ZONE;PRICE;31230354;600;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;11;172669;39271;LOAD ZONE;PRICE;31230354;600;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;12;172669;39271;LOAD ZONE;PRICE;31230354;600;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;13;172669;39271;LOAD ZONE;PRICE;31230354;600;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;14;172669;39271;LOAD ZONE;PRICE;31230354;600;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;15;172669;39271;LOAD ZONE;PRICE;31230354;600;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;16;172669;39271;LOAD ZONE;PRICE;31230354;600;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;17;172669;39271;LOAD ZONE;PRICE;31230354;600;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;18;172669;39271;LOAD ZONE;PRICE;31230354;600;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;19;172669;39271;LOAD ZONE;PRICE;31230354;600;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;20;172669;39271;LOAD ZONE;PRICE;31230354;600;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;21;172669;39271;LOAD ZONE;PRICE;31230354;600;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;22;172669;39271;LOAD ZONE;PRICE;31230354;600;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;23;172669;39271;LOAD ZONE;PRICE;31230354;600;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;05/20/2023;24;172669;39271;LOAD ZONE;PRICE;31230354;600;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;... lines;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
