C;Day-Ahead Energy Market Historical Offer Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Filename: hbdayaheadenergyoffer_20230520.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report for: 05/20/2023 - 05/20/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report generated: 09/01/2023 14:43:48 EDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;Day;Trading Interval;Masked Lead Participant ID;Masked Asset ID;Must Take Energy;Maximum Daily Energy Available;Economic Maximum;Economic Minimum;Cold Startup Price;Intermediate Startup Price;Hot Startup Price;No Load Price;Segment 1 Price;Segment 1 MW;Segment 2 Price;Segment 2 MW;Segment 3 Price;Segment 3 MW;Segment 4 Price;Segment 4 MW;Segment 5 Price;Segment 5 MW;Segment 6 Price;Segment 6 MW;Segment 7 Price;Segment 7 MW;Segment 8 Price;Segment 8 MW;Segment 9 Price;Segment 9 MW;Segment 10 Price;Segment 10 MW;Claim 10;Claim 30;Unit Status
D;05/20/2023;11;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;12;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;13;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;14;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;15;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;16;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;17;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;18;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;19;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;20;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;21;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;22;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;23;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;24;126216;16568;0;0;558.8;170;32743;30920;29334;200;32.6;50;34.82;34.6;36.18;68.2;40.32;68.2;102.94;59;114.87;50;155.52;50;191.84;25;213.5;33.8;;;0;0;ECONOMIC
D;05/20/2023;1;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;2;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;3;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;4;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;5;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;6;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;7;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;8;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;9;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;10;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;11;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;12;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;13;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;14;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;15;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;16;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;17;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;18;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;19;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;20;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;21;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;22;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;23;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;24;2;65939;0;0;565.3;200;207827;158079;104058;50;169.91;200;182.17;140;186.2;113.6;190.5;101.4;209.03;10.3;;;;;;;;;;;0;0;ECONOMIC
T;8000 lines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
